new_tag,timestamp,time,package0,package1,dram0,dram1
Code_Snippet,10/9/2024 11:47:22 AM,0.0360358,0,0,0,0
Code_Snippet,10/9/2024 11:47:34 AM,0.0424271,0,0,0,0
Test_Snippet,10/9/2024 11:52:57 AM,0.0322896,0,0,0,0
Test_Snippet,10/9/2024 11:56:19 AM,0.0313248,0,0,0,0
Test_Snippet,09/10/2024 1:02:41 pm,0.0307499,0,0,0,0
Test_Snippet,09/10/2024 1:05:23 pm,0.0366596,0,0,0,0
Test_Snippet,09/10/2024 1:06:36 pm,0.0255609,0,0,0,0
Test_Snippet,09/10/2024 1:07:34 pm,0.0330786,0,0,0,0
Test_Snippet,09/10/2024 1:08:19 pm,0.0269957,0,0,0,0
Test_Snippet,09/10/2024 1:08:55 pm,0.0264318,0,0,0,0
Test_Snippet,09/10/2024 2:31:53 pm,0.0646485,0,0,0,0
Test_Snippet,09/10/2024 2:32:24 pm,0.0330005,0,0,0,0
Test_Snippet,09/10/2024 2:33:37 pm,0.0258409,207264,0,0,0
Test_Snippet,09/10/2024 2:35:49 pm,0.0297273,299865,0,0,0
Test_Snippet,09/10/2024 2:37:21 pm,0.0288132,358182,0,0,0
Test_Snippet,09/10/2024 2:38:01 pm,0.0303795,244830,0,93074,0
Test_Snippet,09/10/2024 2:39:11 pm,0.050398,362820,0,135430,0
Test_Snippet,15/10/2024 10:14:42 am,0.0261913,358563,0,18675,0
